bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
array array_slice ( array array , int offset , [ int length ] , [ bool preserve_keys ] );配列の一部を展開する
array array_splice ( array input , int offset , [ int length ] , [ array replacement ] );配列の一部を削除し、他の要素で置換する
mixed array_sum ( number arr );配列の中の値の合計を計算する
array array_unique ( array array );配列から重複した値を削除する
int array_unshift ( array array , [ mixed ... ] );一つ以上の要素を配列の最初に加える
array array_values ( array input );配列の全ての値を返す
bool array_walk ( array array , callback funcname , [ mixed userdata ] );配列の全ての要素にユーザー関数を適用する。
array array ( [ mixed ... ] );配列を生成する
bool arsort ( array array , [ int sort_flags ] );連想キーと要素との関係を維持しつつ配列を逆順にソートする
bool arsort ( array array , [ int sort_flags ] );連想キーと要素との関係を維持しつつ配列をソートする
array compact ( mixed varname , [ mixed ... ] );変数名とその値から配列を作成する
int count ( mixed var , [ int mode ] );変数に含まれる要素、あるいはオブジェクトに含まれるプロパティの数を数える
mixed current ( array array );配列内のカレントの要素を返す
array each ( array array );配列から、次のキーと値のペアを返す
mixed end ( array array );配列の内部ポインタを最終要素にセットする
int extract ( array var_array , [ int extract_type ] , [ string prefix ] );配列からシンボルテーブルに変数をインポートする
bool in_array ( mixed needle , array haystack , [ bool strict ] );配列に値があるかチェックする
mixed key ( array array );連想配列からキーを取り出す
bool krsort ( array array , [ int sort_flags ] );配列をキーで逆順にソートする
bool ksort ( array array , [ int sort_flags ] );配列をキーでソートする
void list ( mixed ... , mixed ... );配列と同様の形式で、複数の変数への代入を行います
bool natcasesort ( array array );大文字小文字を区別しない"自然順"アルゴリズムを用いて配列をソートする
void natsort ( array array );"自然順"アルゴリズムで配列をソートする
mixed next ( array array );内部配列ポインタを進める
mixed prev ( array array );内部の配列ポインタを1つ前に戻す
array range ( number low , number high , [ number step ] );ある範囲の整数を有する配列を作成する
mixed reset ( array array );配列の内部ポインタを先頭の要素にセットする
bool rsort ( array array , [ int sort_flags ] );配列を逆順にソートします
bool shuffle ( array array );配列をシャッフルする
bool sort ( array array , [ int sort_flags ] );配列をソートする
bool uasort ( array array , function cmp_function );ユーザー定義の比較関数で配列をソートし、連想インデックスを保持する
bool uksort ( array array , callback cmp_function );ユーザー定義の比較関数を用いてキーで配列をソートします
bool usort ( array array , callback cmp_function );ユーザー定義の比較関数により値で配列をソートします
bool aspell_check_raw ( int dictionary_link , string word );大文字小文字の変更や削除を行うことなく、単語のチェックを行います。
boolean aspell_check ( int dictionary_link , string word );単語をチェックする [古い関数]
int aspell_new ( string master , [ string personal ] );新しい辞書をロードする [古い関数]
array aspell_suggest ( int dictionary_link , string word );単語スペルの修正案を示す [古い関数]
string bcadd ( string left operand , string right operand , int [scale] );2つの任意精度の数値による加算
int bccomp ( string left operand , string right operand , int [scale] );2 つの任意精度数値の比較
string bcdiv ( string left operand , string right operand , int [scale] );2つの任意精度数値による除算
string bcmod ( string left operand , string modulus );2 つの任意精度数値による剰余
string bcmul ( string left operand , string right operand , int [scale] );2つの任意精度数値による乗算
string bcpow ( string x , string y , int [scale] );任意精度数値のべき乗
string bcscale ( int scale );すべての BC 演算関数におけるデフォルトのスケール設定
string bcsqrt ( string operand , int [scale] );任意精度数値の平方根を得ます
string bcsub ( string left operand , string right operand , int [scale] );任意精度数値による減算
int bzclose ( int bz );bzip2ファイルポインタを閉じる
string bzcompress ( string source , [ int blocksize ] , [ int workfactor ] );文字列をbzip2形式のデータに圧縮する
string bzdecompress ( string source , [ int small ] );bzip2形式のデータを解凍する
int bzerrno ( int bz );bzip2エラー番号を返す
array bzerror ( int bz );bzip2エラー番号とエラー文字列を配列で返す
string bzerrstr ( int bz );bzip2エラー文字列を返す
int bzflush ( int bz );全てのバッファリングされたデータを強制的に書き込む
int bzopen ( string filename , string mode );bzip2圧縮されたファイルをオープンする
string bzread ( int bz , [ int length ] );バイナリ対応のbzip2ファイル読み込み
int bzwrite ( int bz , string data , [ int length ] );バイナリ対応のbzip2ファイルへの書き込み
int cal_days_in_month ( int calendar , int month , int year );指定した年とカレンダについて日数を返すcalendar
array cal_from_jd ( int jd , int calendar );ユリウス積算日からサポートされるカレンダに変換し、拡張情報を返す
array cal_info ( int calendar );特定のカレンダに関する情報を返す
int cal_to_jd ( int calendar , int month , int day , int year );サポートされるカレンダからユリウス積算日に変換する
int easter_date ( [ int year ] );指定した年における復活祭の真夜中のUnix時を得る
int easter_days ( int year );指定した年において3月21日以降、復活祭までの日数を得る
int frenchtojd ( int month , int day , int year );フランス革命暦をユリウス積算日に変換する
int gregoriantojd ( int month , int day , int year );グレゴリウス日をユリウス積算日に変換する
mixed jddayofweek ( int julianday , int mode );曜日を返す
string jdmonthname ( int julianday , int mode );月の名前を返す
string jdtofrench ( int juliandaycount );ユリウス積算日をフランス革命暦(共和暦)に変換する
string jdtogregorian ( int julianday );ユリウス積算日をグレゴリウス日に変換する
string jdtojewish ( int julianday );ユリウス積算日をユダヤ暦に変換する
string jdtojulian ( int julianday );ユリウス積算日をユリウス暦に変換する
int jdtounix ( int jday );ユリウス歴をUNIXタイムスタンプに変換する
int jewishtojd ( int month , int day , int year );ユダヤ暦の日付けをユリウス積算日に変換する
int juliantojd ( int month , int day , int year );ユリウス暦をユリウス積算日に変換する
int unixtojd ( int [timestamp] );UNIXタイムスタンプをユリウス歴に変換する
string ccvs_add ( string session , string invoice , string argtype , string argval );トランザクションにデータを追加する
string ccvs_auth ( string session , string invoice );あるトランザクションにおいてクレジット認証を行う
string ccvs_command ( string session , string type , string argval );単一のプロトコルに基づく、一般的なCCVS APIで利用できないコマンドを実行する
int ccvs_count ( string session , string type );システムに保存された指定した型のトランザクション数を得る
string ccvs_delete ( string session , string invoice );トランザクションを削除する
string ccvs_done ( string sess );CCVSエンジンを終了し、クリアする
string ccvs_init ( string name );CCVSを初期化する
string ccvs_lookup ( string session , string invoice , int inum );データベース #にある特定の型の項目を探す
string ccvs_new ( string session , string invoice );新規に空のトランザクションを生成する
string ccvs_report ( string session , string type );バックグラウン通信プロセスの状態を返す
string ccvs_return ( string session , string invoice );クレジットカード所有者に店側から金を伝送する
string ccvs_reverse ( string session , string invoice );処理済みの認証を完全に取り消す
string ccvs_sale ( string session , string invoice );クレジットカード所有者から店側に金を伝送する
string ccvs_status ( string session , string invoice );送付状のステータスを確認する
string ccvs_textvalue ( string session );前の関数コールに関する返り値を取得する
string ccvs_void ( string session , string invoice );完了したトランザクションを完全に取り消す
mixed call_user_method_array ( string method_name , object obj , array paramarr );パラメータの配列を指定してユーザメソッドをコールする[古い関数]
mixed call_user_method ( string method_name , object obj , [ mixed parameter ] , [ mixed ... ] );指定したオブジェクトのユーザーメソッドをコールする[古い関数]
bool class_exists ( string class_name , [ bool autoload ] );クラスが定義済か確認する
array get_class_methods ( string class_name );クラスメソッドの名前を連想配列として返す
array get_class_vars ( string class_name );クラスのデフォルトプロパティを配列として返す
string get_class ( object obj );オブジェクトのクラス名を返す
array get_declared_classes ();定義済のクラスの名前を配列として返す
array get_declared_interfaces ();宣言されている全てのインターフェースの配列を返す
array get_object_vars ( object obj );オブジェクトプロパティを配列として返す
string get_parent_class ( mixed obj );オブジェクトの親クラスの名前を返す
bool interface_exists ( string interface_name , [ bool autoload ] );インターフェースが宣言されているかどうかを確認する
bool is_a ( object object , string class_name );オブジェクトがこのクラスのものであるかこのクラスをその親クラスの１つとしている場合にTRUEを返す
bool is_subclass_of ( object obj , string superclass );あるオブジェクトが指定したクラスのサブクラスに属するかどうかを調べる
bool method_exists ( object object , string method_name );クラスメソッドが存在するかどうかを確認する
bool property_exists ( mixed class , string property );オブジェクトもしくはクラスにプロパティが存在するかどうかを確認する
com COM::COM ( string module_name , [ mixed server_name ] , [ int codepage ] , [ string typelib ] );COMクラス
string VARIANT::VARIANT ( [ mixed value ] , [ int type ] , [ int codepage ] );VARIANT クラス
void com_addref ();コンポーネントリファレンスカウンタを増やす
mixed com_get ( resource com_object , string property );COMコンポーネントのプロパティの値を得る
mixed com_invoke ( resource com_object , string function_name , mixed [function parameters, ...] );COMコンポーネントのメソッドをコールします。
void com_isenum ( object com_module );IEnumVariantを取得する
void com_load_typelib ( string typelib_name , [ int case_insensitive ] );Typelibをロードする
string com_load ( string module name , string [server name] , [ int codepage ] );COMコンポーネントへの新規リファレンスを作成する
mixed com_propget ( resource com_object , string property );COMコンポーネントのプロパティの値を得る
void com_propput ( resource com_object , string property , mixed value );COMコンポーネントのプロパティに値を代入する
void com_propset ( resource com_object , string property , mixed value );COMコンポーネントのプロパティに値を代入する
void com_release ();コンポーネントリファレンスカウンタを減らす [廃止]
void com_set ( resource com_object , string property , mixed value );COMコンポーネントのプロパティに値を代入する
void cpdf_add_annotation ( int pdf document , float llx , float lly , float urx , float ury , string title , string content , int [mode] );注記を追加する
void cpdf_add_outline ( int pdf document , string text );現在のページにブックマークを追加する
void cpdf_arc ( int pdf document , float x-coor , float y-coor , float radius , float start , float end , int mode );円弧を描く
void cpdf_begin_text ( int pdf document );テキストセクションを開始する
void cpdf_circle ( int pdf document , float x-coor , float y-coor , float radius , [ int mode ] );円を描く
void cpdf_clip ( int pdf document );カレントのパスを切り取る
void cpdf_close ( int pdf document );pdf ドキュメントを閉じる
void cpdf_closepath_fill_stroke ( int pdf document );パスを閉じ、塗りつぶし、描く
void cpdf_closepath_stroke ( int pdf document );パスを閉じ、線をパスに沿って描く
void cpdf_closepath ( int pdf document );パスを閉じる
void cpdf_continue_text ( int pdf document , string text );次の行にテキストを出力する
void cpdf_curveto ( int pdf document , float x1 , float y1 , float x2 , float y2 , float x3 , float y3 , int mode );曲線を描く
void cpdf_end_text ( int pdf document );テキストセクションを終了する
void cpdf_fill_stroke ( int pdf document );カレントのパスを塗りつぶし、描く
void cpdf_fill ( int pdf document );カレントのパスを塗りつぶす
void cpdf_finalize_page ( int pdf document , int page number );ページを終了する
void cpdf_finalize ( int pdf document );ドキュメントを終了する
void cpdf_global_set_document_limits ( int maxpages , int maxfonts , int maximages , int maxannotations , int maxobjects );PDFドキュメントの制限を設定する
int cpdf_import_jpeg ( int pdf document , string file name , float x-coor , float y-coor , float angle , float width , float height , float x-scale , float y-scale , int [mode] );JPEG 画像をオープンする
void cpdf_lineto ( int pdf document , float x-coor , float y-coor , int mode );線を描く
void cpdf_moveto ( int pdf document , float x-coor , float y-coor , int mode );カレントのポイントを設定する
void cpdf_newpath ( int pdf document );新規パスを開始する
int cpdf_open ( int compression , string filename );新規pdfドキュメントをオープンする
void cpdf_output_buffer ( int pdf document );pdf ドキュメントをメモリバッファに出力する
void cpdf_page_init ( int pdf document , int page number , int orientation , float height , float width , float unit );新規ページを開始する
void cpdf_place_inline_image ( int pdf document , int image , float x-coor , float y-coor , float angle , float width , float height , int [mode] );画像をページに置く
void cpdf_rect ( int pdf document , float x-coor , float y-coor , float width , float height , int mode );矩形を描く
void cpdf_restore ( int pdf document );以前に保存した環境を回復させる
void cpdf_rlineto ( int pdf document , float x-coor , float y-coor , int mode );線を描く
void cpdf_rmoveto ( int pdf document , float x-coor , float y-coor , int mode );カレントのポイントを設定する
void cpdf_rotate_text ( int pdfdoc , float angle );テキスト回転角を設定する
void cpdf_rotate ( int pdf document , float angle );回転を設定する
void cpdf_save_to_file ( int pdf document , string filename );pdf ドキュメントをファイルに書きこむ
void cpdf_save ( int pdf document );現在の環境を保存する
void cpdf_scale ( int pdf document , float x-scale , float y-scale );倍率を設定する
void cpdf_set_action_url ( int pdfdoc , float xll , float yll , float xur , float xur , string url , [ int mode ] );ハイパーリンクを設定する
void cpdf_set_char_spacing ( int pdf document , float space );文字間隔を設定する
void cpdf_set_creator ( string creator );pdf ドキュメントの creator フィールドを設定する
void cpdf_set_current_page ( int pdf document , int page number );カレントページを設定する
void cpdf_set_font_directories ( int pdfdoc , string pfmdir , string pfbdir );外部フォントを使用した際、検索するディレクトリを設定する
void cpdf_set_font_map_file ( int pdfdoc , string filename );外部フォントを使用している場合、フォント名をファイル名変換マップに設定する
void cpdf_set_font ( int pdf document , string font name , float size , string encoding );フォントの種類とサイズを選択する
void cpdf_set_horiz_scaling ( int pdf document , float scale );テキストの水平方向の倍率を設定する
void cpdf_set_keywords ( string keywords );pdfドキュメントのkeywords フィールドを設定する
void cpdf_set_leading ( int pdf document , float distance );テキスト行の間隔を設定する
void cpdf_set_page_animation ( int pdf document , int transition , float duration );ページ間の移行時間を設定する
void cpdf_set_subject ( string subject );pdfドキュメントのsubject フィールドを設定する
void cpdf_set_text_matrix ( int pdf document , array matrix );テキスト行列を設定する
void cpdf_set_text_pos ( int pdf document , float x-coor , float y-coor , int mode );テキスト位置を設定する
void cpdf_set_text_rendering ( int pdf document , int mode );テキストのレンダリング法を定義する
void cpdf_set_text_rise ( int pdf document , float value );テキストの高さを設定する
void cpdf_set_title ( string title );pdf ドキュメントの title フィールドを設定する
void cpdf_set_viewer_preferences ( int pdfdoc , array preferences );ドキュメントのビューワ上での表示方法を設定する
void cpdf_set_word_spacing ( int pdf document , float space );単語間の間隔を設定する
void cpdf_setdash ( int pdf document , float white , float black );破線のパターンを設定する
void cpdf_setflat ( int pdf document , float value );flatness を設定する
void cpdf_setgray_fill ( int pdf document , float value );塗りつぶし色をグレー値に設定する
void cpdf_setgray_stroke ( int pdf document , float gray value );描画色をグレー値に設定する
void cpdf_setgray ( int pdf document , float gray value );描画、塗りつぶし色をグレー値に設定する
void cpdf_setlinecap ( int pdf document , int value );linecap パラメータを設定する
void cpdf_setlinejoin ( int pdf document , long value );linejoin パラメータを設定するparameter
void cpdf_setlinewidth ( int pdf document , float width );線幅を設定する
void cpdf_setmiterlimit ( int pdf document , float value );miter のリミットを設定する
void cpdf_setrgbcolor_fill ( int pdf document , float red value , float green value , float blue value );塗りつぶし色をRGBカラー値に設定する
void cpdf_setrgbcolor_stroke ( int pdf document , float red value , float green value , float blue value );描画色をRGBカラー値に設定する
void cpdf_setrgbcolor ( int pdf document , float red value , float green value , float blue value );描画色および塗りつぶし色をRGB値に設定??
void cpdf_show_xy ( int pdf document , string text , float x-coor , float y-coor , [ int mode ] );指定位置にテキストを出力する
void cpdf_show ( int pdf document , string text );現在位置にテキストを出力する
float cpdf_stringwidth ( int pdf document , string text );カレントフォントのテキストの幅を返す
void cpdf_stroke ( int pdf document );パスに沿って線を描く
void cpdf_text ( int pdf document , string text , float x-coor , float y-coor , [ int mode ] , [ float orientation ] , [ int alignmode ] );テキストをパラメータを元に出力する
void cpdf_translate ( int pdf document , float x-coor , float y-coor , [ int mode ] );座標系の原点を設定する
bool crack_check ( resource dictionary , string password );指定したパスワードに関して強度チェックを行う
bool crack_closedict ( [ resource dictionary ] );オープンされているCrackLib辞書を閉じる
string crack_getlastmessage ();直近の強度チェックからのメッセージを返す
resource crack_opendict ( string dictionary );新規CrackLib辞書をオープンする
bool ctype_alnum ( string text );英数字かどうかを調べる
bool ctype_alpha ( string c );英字かどうかを調べる
bool ctype_cntrl ( string text );制御文字かどうかを調べる
bool ctype_digit ( string c );数字かどうかを調べる
bool ctype_graph ( string c );空白以外の印字可能な文字かどうかを調べる
bool ctype_lower ( string c );小文字かどうかを調べる
bool ctype_print ( string c );印字可能な文字かどうかを調べる
bool ctype_punct ( string text );空白、英数字以外の出力可能な文字かどうかを調べる
bool ctype_space ( string c );空白文字かどうか調べる
bool ctype_upper ( string text );大文字かどうか調べる
bool ctype_xdigit ( string c );16進数を表す文字かどうかを調べる
void curl_close ( int ch );CURLセッションを閉じる
int curl_errno ( resource ch );直近のエラー番号を意味する整数を返す
string curl_error ( int ch );カレントのセッションに関して直近のエラー文字列を返す
bool curl_exec ( int ch );CURLセッションを実行する
string curl_getinfo ( resource ch , [ int opt ] );指定した伝送に関する情報を得る
int curl_init ( string [url] );CURLセッションを初期化
bool curl_setopt ( resource ch , int option , mixed value );CURL転送用オプションを設定する
string curl_version ();カレントのCURLのバージョンを返す
string cybercash_base64_decode ( string inbuff );BASE64デコードを行う
string cybercash_base64_encode ( string inbuff );BASE64エンコードを行う
array cybercash_decr ( string wmk , string sk , string inbuff );Cybercash復号化
array cybercash_encr ( string wmk , string sk , string inbuff );Cybercash暗号化
string cybermut_creerformulairecm ( string url_CM , string version , string TPE , string montant , string ref_commande , string texte_libre , string url_retour , string url_retour_ok , string url_retour_err , string langue , string code_societe , string texte_bouton );支払リクエスト用HTMLフォームを生成
string cybermut_creerreponsecm ( string phrase );支払い確認用画面を生成する
bool cybermut_testmac ( string code_MAC , string version , string TPE , string cdate , string montant , string ref_commande , string texte_libre , string code-retour );受信した確認用メッセージに虚偽のデータが含まれていないことを確認する
bool cyrus_authenticate ( resource connection , [ string mechlist ] , [ string service ] , [ string user ] , [ int minssf ] , [ int maxssf ] );Cyrus IMAPサーバに対する認証を行う
bool cyrus_bind ( resource connection , array callbacks );Cyrus IMAP接続へのコールバックをバインドする
bool cyrus_close ( resource connection );cyrusサーバへの接続を閉じる
resource cyrus_connect ( [ string host ] , [ string port ] , [ int flags ] );Cyrus IMAPサーバに接続する
bool cyrus_query ( resource connection , string query );Cyrus IMAPサーバへクエリを送信する
bool cyrus_unbind ( resource connection , string trigger_name );Unbind ...
int checkdate ( int month , int day , int year );グレグリオ歴の日付/時刻の妥当性を確認します
string date ( string format , [ int timestamp ] );ローカルの日付/時刻を書式化する
array getdate ( [ int timestamp ] );日付/時刻情報の取得
array gettimeofday ();現在の時間を得る
string gmdate ( string format , [ int timestamp ] );GMT/CUT の日付／時刻を書式化
int gmmktime ( [ int hour ] , [ int minute ] , [ int second ] , [ int month ] , [ int day ] , [ int year ] , [ int is_dst ] );GMT日付によるUNIXタイムスタンプを取得する
string gmstrftime ( string format , [ int timestamp ] );ロケールの設定に基づきGMT/CUT 時刻/日付をフォーマットする
int idate ( string format , [ int timestamp ] );ローカルな時刻/日付を整数として整形する
array localtime ( [ int timestamp ] , [ bool is_associative ] );ローカルタイムを得る
mixed microtime ( [ bool get_as_float ] );現在のUnixタイムスタンプをマイクロ秒まで返す
int mktime ( [ int hour ] , [ int minute ] , [ int second ] , [ int month ] , [ int day ] , [ int year ] , [ int is_dst ] );日付を UNIX のタイムスタンプとして取得する
string strftime ( string format , [ int timestamp ] );ローカルな設定に基づきローカルな日付・時間をフォーマットします
int strtotime ( string time , [ int now ] );英文形式の日付をUNIXタイムスタンプに変換する
int time ();現在の UNIX タイムスタンプを返す
void dba_close ( int handle );データベースを閉じる
bool dba_delete ( string key , int handle );キーが指すエントリを削除する
bool dba_exists ( string key , int handle );キーが存在するかどうかを確認する
string dba_fetch ( string key , int handle );キーが指すデータを取得する
string dba_firstkey ( int handle );最初のキーを取得する
array dba_handlers ();利用可能なハンドラの一覧を得る
bool dba_insert ( string key , string value , int handle );エントリを挿入する
array dba_list ();オープンされているデータベースファイルを全リストを得る
string dba_nextkey ( int handle );次のキーを取得する
resource dba_open ( string path , string mode , string handler , [ ... ] );データベースをオープンする
bool dba_optimize ( int handle );データベースを最適化する
int dba_popen ( string path , string mode , string handler , [...] );データベースを持続的にオープンする
bool dba_replace ( string key , string value , int handle );エントリを置換または挿入する
bool dba_sync ( int handle );データベースを同期する
bool dbase_add_record ( int dbase_identifier , array record );dBase データベースにレコードを追加する
bool dbase_close ( int dbase_identifier );dBase データベースを閉じる
int dbase_create ( string filename , array fields );dBase データベースを作成する
bool dbase_delete_record ( int dbase_identifier , int record );dBase データベースからレコードを削除する
array dbase_get_record_with_names ( int dbase_identifier , int record );dBaseデータベースからレコードを連想配列として得る
array dbase_get_record ( int dbase_identifier , int record );dBase データベースからレコードを得る
int dbase_numfields ( int dbase_identifier );dBase データベースにおけるフィールド数を返す
int dbase_numrecords ( int dbase_identifier );dBase データベースにおけるレコード数を返す
int dbase_open ( string filename , int flags );dBase データベースをオープンする
bool dbase_pack ( int dbase_identifier );dBase データベースをパックする
bool dbase_replace_record ( int dbase_identifier , array record , int dbase_record_number );dBase データベースのレコードを置換する
string dblist ();使用されているDBM互換ライブラリの一覧を返す
bool dbmclose ( int dbm_identifier );dbm データベースを閉じます
bool dbmdelete ( int dbm_identifier , string key );dbm データベースから値を削除します
bool dbmexists ( int dbm_identifier , string key );dbm データベースにキー検索を行います
string dbmfetch ( int dbm_identifier , string key );dbm データベースからキーの値を取り出します
string dbmfirstkey ( int dbm_identifier );dbm データベースから最初のキーを取り出します
int dbminsert ( int dbm_identifier , string key , string value );dbm データベースへの値の挿入
string dbmnextkey ( int dbm_identifier , string key );dbm データベースから次のキーを取り出します
int dbmopen ( string filename , string flags );DBMデータベースをオープンします
bool dbmreplace ( int dbm_identifier , string key , string value );dbm データベース中の値を置き換えます
int dbplus_add ( resource relation , array tuple );関係にタプルを追加する
resource dbplus_aql ( string query , [ string server ] , [ string dbpath ] );AQLクエリを実行する
string dbplus_chdir ( [ string newdir ] );データベース仮想カレントディレクトリを設定/取得
int dbplus_close ( resource relation );関係を閉じる
int dbplus_curr ( resource relation , array tuple );関係からカレントのタプルを取得
string dbplus_errcode ( int errno );指定したエラーコードまたは直近のエラーに関するエラー文字列を取得する
int dbplus_errno ();直近の操作に関するエラーコードを取得する
int dbplus_find ( resource relation , array constraints , mixed tuple );関係に拘束を設定する
int dbplus_first ( resource relation , array tuple );関係から最初のタプルを取得する
int dbplus_flush ( resource relation );関係に行った全ての変更をフラッシュする
int dbplus_freealllocks ();このクライアントにより保持された全てのロックを解放する
int dbplus_freelock ( resource relation , string tname );タプルの書き込みロックを解放する
int dbplus_freerlocks ( resource relation );指定した関係に関する全てのタプルロックを解放する
int dbplus_getlock ( resource relation , string tname );タプルの書き込みロックを取得する
int dbplus_getunique ( resource relation , int uniqueid );あうる関係のユニークなID番号を取得する
int dbplus_info ( resource relation , string key , array );???
int dbplus_last ( resource relation , array tuple );関係から直近のタプルを取得する
int dbplus_lockrel ( resource relation );関係に書き込みロックを要求する
int dbplus_next ( resource relation , array );関係から次のタプルを取得する
resource dbplus_open ( string name );関係ファイルをオープンする
int dbplus_prev ( resource relation , array tuple );関係から前のタプルを取得する
int dbplus_rchperm ( resource relation , int mask , string user , string group );関係の許可属性を変更する
resource dbplus_rcreate ( string name , mixed domlist , [ boolean overwrite ] );関係を新規に作成する
resource dbplus_rcrtexact ( string name , resource relation , boolean overwrite );
resource dbplus_rcrtlike ( string name , resource relation , int flag );
int dbplus_resolve ( string relation_name );関係のホスト情報を取得する
int dbplus_restorepos ( resource relation , array tuple );???
resource dbplus_rkeys ( resource relation , mixed domlist );関係の主キーを新規に指定する
resource dbplus_ropen ( string name );関係ファイルをローカルにオープンする
int dbplus_rquery ( string query , string dbpath );ローカルに(raw) AQLクエリを実行する
int dbplus_rrename ( resource relation , string name );関係の名前を変更する
resource dbplus_rsecindex ( resource relation , mixed domlist , int type );関係に新規セカンダリインデックスを作成する
int dbplus_runlink ( resource relation );ファイルシステムから関係を削除する
int dbplus_rzap ( resource relation );関係から全てのタプルを削除する
int dbplus_savepos ( resource relation );???
int dbplus_setindex ( resource relation , string idx_name );???
int dbplus_setindexbynumber ( resource relation , int idx_number );???
resource dbplus_sql ( string query , string server , string dbpath );SQLクエリを実行する
int dbplus_tcl ( int sid , string script );サーバ側でTCLコードを実行する
int dbplus_tremove ( resource relation , array tuple , [ array current ] );タプルを削除し、新規カレントタプルを返す
int dbplus_undo ( resource relation );???
int dbplus_undoprepare ( resource relation );???
int dbplus_unlockrel ( resource relation );関係の書き込みロックを中断する
int dbplus_unselect ( resource relation );関係から制約を削除する
int dbplus_update ( resource relation , array old , array new );関係の指定したタプルを更新する
int dbplus_xlockrel ( resource relation );関係の排他的ロックを要求する
int dbplus_xunlockrel ( resource relation );関係の排他的ロックを解放する
boolean dbx_close ( dbx_link_object link_identifier );オープンされた接続/データベースを閉じる
int dbx_cmp_asc ( array row_a , array row_b , string columnname_or_index , [ int comparison_type ] );昇順にソートするために二つのレコードを比較する
int dbx_compare ( array row_a , array row_b , string columnname_or_index , [ int flags ] );ソートするために二つのレコードを比較する
dbx_link_object dbx_connect ( string module , string host , string database , string username , string password , [ int persistent ] );接続/データベースをオープンする
string dbx_error ( dbx_link_object link_identifier );(接続時だけでなく)使用するモジュールの最新の関数コールにおけるエラーメッセージを出力する
dbx_result_object dbx_query ( dbx_link_object link_identifier , string sql_statement , [ long flags ] );クエリを送信し、(ある場合には)結果を全て取得する
boolean dbx_sort ( dbx_result_object result , string user_compare_function );カスタマイズされたsort関数により、dbx_queryから結果をソートする
void dio_close ( resource fd );fdで指定したファイル記述子を閉じる
mixed dio_fcntl ( resource fd , int cmd , [ mixed arg ] );fdについてCライブラリのfcntlを実行する
resource dio_open ( string filename , int flags , [ int mode ] );許可属性flagsと作成許可属性modeを指定して新規にfilenameをオープンする
string dio_read ( resource fd , [ int n ] );fdからnバイト読みこんで返す。nが指定されない場合は、1kブロックを読みこむ
